region,taxa_group,taxa,period,"extraction_method: 
Foraging and collection","extraction_method: 
Spears, harpoons (unmechanised)","extraction_method: 
Hand lines, hand nets","extraction_method: 
Other hand held weapons (e.g. axes, clubs, guns)","extraction_method: 
Fixed traps (e.g. coastal fish traps of stone or wood)","extraction_method: 
Portable traps (e.g. lobster pots)
","extraction_method: 
Nets and longlines (unmechanised)","extraction_method: 
Nets, longlines, harpoons (mechanised)","extraction_method: 
Other",extraction_level,sustainable_or_not,drivers_of_change,"extraction_for_ Nonmarket_consumption_(e.g., recreational, subsistence, non-commercial fishing)",extraction_for_ Local_markets,extraction_for_ Regional markets,"extraction_for_ Inter-regional markets (e.g. long distance, transoceanic)",bibliographical_ref
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"18 (Phase 4, Strati C-D)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"19 (Phase 5, Strati A-B)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Sphyraenidae (large),"11 (Phase 1, Strati G-H)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Sphyraenidae (large),"12 (Phase 1, Strati G-H)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Sphyraenidae (large),"13 (Phase 1, Strati G-H)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Sphyraenidae (large),"14 (Phase 2, Strati E-F)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Sphyraenidae (large),"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Sphyraenidae (large),"17 (Phase 4, Strati C-D)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Sphyraenidae (large),"18 (Phase 4, Strati C-D)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Lutjanidae (medium),"11 (Phase 1, Strati G-H)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Lutjanidae (medium),"12 (Phase 1, Strati G-H)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Lutjanidae (medium),"13 (Phase 1, Strati G-H)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Serranidae (large),"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,"Scombridae
Sphyraenidae (large)
Lutjanidae (medium)
Serranidae (large)","11 (Phase 1, Strati G-H)",,,,,,,3,,,,,"High frequency of trolling lure shanks and points associated with offshore fishing for pelagic species in phases 1, 2, and 3. Evidence for a sharp decline in the importance of offshore fishing for pelagic species during phase 3 (first decades of 15th cent) or shortly afterward.
This interpretation is supported by results of the fish bone analysis, with a frequency of pelagic fishes around 25 to 35% in phases 1/2/3 (before 15th c) and sharp fall off under 8% in phases 4 and 5 (16-19th c).",,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,"Scombridae
Sphyraenidae (large)
Lutjanidae (medium)
Serranidae (large)","12 (Phase 1, Strati G-H)",,,,,,,3,,,,,"High frequency of trolling lure shanks and points associated with offshore fishing for pelagic species in phases 1, 2, and 3. Evidence for a sharp decline in the importance of offshore fishing for pelagic species during phase 3 (first decades of 15th cent) or shortly afterward.
This interpretation is supported by results of the fish bone analysis, with a frequency of pelagic fishes around 25 to 35% in phases 1/2/3 (before 15th c) and sharp fall off under 8% in phases 4 and 5 (16-19th c).",,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,"Scombridae
Sphyraenidae (large)
Lutjanidae (medium)
Serranidae (large)","13 (Phase 1, Strati G-H)",,,,,,,3,,,,,"High frequency of trolling lure shanks and points associated with offshore fishing for pelagic species in phases 1, 2, and 3. Evidence for a sharp decline in the importance of offshore fishing for pelagic species during phase 3 (first decades of 15th cent) or shortly afterward.
This interpretation is supported by results of the fish bone analysis, with a frequency of pelagic fishes around 25 to 35% in phases 1/2/3 (before 15th c) and sharp fall off under 8% in phases 4 and 5 (16-19th c).",,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,"Scombridae
Sphyraenidae (large)
Lutjanidae (medium)
Serranidae (large)","14 (Phase 2, Strati E-F)",,,,,,,3,,,,,"High frequency of trolling lure shanks and points associated with offshore fishing for pelagic species in phases 1, 2, and 3. Evidence for a sharp decline in the importance of offshore fishing for pelagic species during phase 3 (first decades of 15th cent) or shortly afterward.
This interpretation is supported by results of the fish bone analysis, with a frequency of pelagic fishes around 25 to 35% in phases 1/2/3 (before 15th c) and sharp fall off under 8% in phases 4 and 5 (16-19th c).",,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,"Scombridae
Sphyraenidae (large)
Lutjanidae (medium)
Serranidae (large)","15, first half (Phase 3, Strati E-F)",,,,,,,3,,,,,"High frequency of trolling lure shanks and points associated with offshore fishing for pelagic species in phases 1, 2, and 3. Evidence for a sharp decline in the importance of offshore fishing for pelagic species during phase 3 (first decades of 15th cent) or shortly afterward.
This interpretation is supported by results of the fish bone analysis, with a frequency of pelagic fishes around 25 to 35% in phases 1/2/3 (before 15th c) and sharp fall off under 8% in phases 4 and 5 (16-19th c).",,,,,rolett1998
Central East Polynesia and Hawaii,Small pelagic,Mugilidae,17,,,,,3,,,,,,,,,,,,oliver2002
Central East Polynesia and Hawaii,Small pelagic,Mugilidae,18,,,,,3,,,,,,,,,,,,oliver2002
Central East Polynesia and Hawaii,Small pelagic,Mugilidae,19,,,,,3,,,,,,,,,,,,oliver2002
Central East Polynesia and Hawaii,Small pelagic,Mugilidae,20,,,,,3,,,,,,,,,,,,oliver2002
